Marque,Modèle,Trim,Année,Consumer Cash,Bonus Cash,Opt1 36m,Opt1 48m,Opt1 60m,Opt1 72m,Opt1 84m,Opt1 96m,Opt2 36m,Opt2 48m,Opt2 60m,Opt2 72m,Opt2 84m,Opt2 96m
Jeep,Compass,North,2025,7500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.99,1.99,1.99,3.99,4.99
Jeep,Compass,"Altitude, Trailhawk, Trailhawk Elite",2025,4000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.99,1.99,2.49,3.49,3.99,4.99
Jeep,Compass,Limited,2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.49,2.49
Jeep,Gladiator,,2025,11000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,3.49
Jeep,Grand Cherokee,4xe (WL),2025,4000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.99,1.99,2.49,3.49,3.99,4.99
Jeep,Grand Cherokee,Laredo (WLJH74 2*A),2025,6000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.99
Jeep,Grand Cherokee,Altitude (WLJH74 2*B),2025,7500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.99
Jeep,Grand Cherokee,Summit (WLJT74 23S),2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.99
Jeep,Grand Cherokee,"(WL) (excl. Laredo, Altitude, Summit, 4xe)",2025,9500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.99
Jeep,Grand Cherokee L,Laredo (WLJH75 2*A),2025,6000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.99
Jeep,Grand Cherokee L,Altitude (WLJH75 2*B),2025,7500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.99
Jeep,Grand Cherokee L,Overland (WLJS75),2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.99
Jeep,Grand Cherokee L,"(WL) (excl. Laredo, Altitude, Overland)",2025,9500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.99
Jeep,Grand Wagoneer/L,,2025,9500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.99,1.99,3.99
Jeep,Wagoneer S,Limited & Premium (BEV),2025,8000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.99,1.99,2.99
Jeep,Wagoneer/L,,2025,7500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.99,1.99,3.99
Jeep,Wrangler,4-Door (JL) 4xe (JLXL74),2025,4000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.99,1.99,2.49,3.49,3.99,4.99
Jeep,Wrangler,4-Door (JL) 4xe (excl. JLXL74),2025,4000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.99,1.99,2.49,3.49,3.99,4.99
Jeep,Wrangler,2-Door (JL) non Rubicon,2025,750.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Jeep,Wrangler,2-Door Rubicon (JL),2025,8500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,2.99
Jeep,Wrangler,4-Door Rubicon w/ 2.0L,2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,2.99
Jeep,Wrangler,4-Door (JL) (excl. Rubicon 2.0L & 4xe),2025,8500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,2.99
Ram,1500,"Tradesman, Express, Warlock",2026,6500.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.99,2.99,3.99
Ram,1500,Big Horn,2026,6000.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.99,2.99,3.99
Ram,1500,"Sport, Rebel",2026,8250.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.99,2.99,3.99
Ram,1500,Laramie (DT6P98),2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Ram,1500,"Laramie, Limited, Longhorn, Tungsten, RHO (excl. DT6P98)",2026,11500.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,3.49
Ram,2500 Power Wagon Crew Cab,(DJ7X91 2UP),2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Ram,2500/3500,Gas Models,2026,7000.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.99,2.99,3.99
Ram,2500/3500,Diesel Models,2026,5000.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.99,0.99,0.99,0.99,1.99,3.49
Ram,Chassis Cab,,2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Ram,ProMaster,,2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Ram,1500,"Tradesman, Warlock, Express (DT)",2025,9250.0,3000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,2.99
Ram,1500,Big Horn (DT) w/ Off-Roader Value Package (4KF),2025,0.0,3000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,2.99
Ram,1500,Big Horn (DT) (excl. Off-Roader),2025,9250.0,3000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,2.99
Ram,1500,"Sport, Rebel (DT)",2025,10000.0,3000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,2.99
Ram,1500,"Laramie, Limited, Longhorn, Tungsten, RHO (DT)",2025,12250.0,3000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,2.99
Ram,2500/3500,"Gas Models (excl. Chassis Cab, Diesel)",2025,9500.0,3000.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Ram,2500/3500,6.7L High Output Diesel (ETM),2025,7000.0,3000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.99,0.99,0.99,0.99,1.99,2.99
Ram,Chassis Cab,,2025,5000.0,3000.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Ram,ProMaster,,2025,0.0,3000.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
